scrambleMode,nodeMode,matrixMode,lastStep,matrixSize,numBytesIn,numBytesOut,Loading Data,Padding Data,Scrambling,Outputting Scrambled Data,Outputting key
scrambling,bit,hashed,Done,6888,701,1148,2,0,425,14,15
scrambling,byte,linked,Done,3705,701,4940,2,3,67,1,8
scrambling,bit,linked,Done,7568,701,1264,1,0,89,1,16
scrambling,byte,array,Done,3640,701,4856,0,1,48,0,9
scrambling,bit,array,Done,7216,701,1204,2,0,132,1,16
scrambling,byte,hashed,Done,3808,751,5080,1,3,184,1,9
scrambling,bit,hashed,Done,7568,751,1264,2,1,476,1,16
scrambling,byte,linked,Done,3819,751,5092,1,0,31,0,9
scrambling,bit,linked,Done,7560,751,1260,1,1,87,1,16
scrambling,byte,array,Done,3843,751,5124,1,0,50,1,9
scrambling,bit,array,Done,7656,751,1276,1,1,147,1,16
scrambling,byte,hashed,Done,3944,801,5260,1,1,182,1,9
scrambling,bit,hashed,Done,7744,801,1292,2,1,499,1,16
scrambling,byte,linked,Done,3969,801,5292,1,1,29,1,9
scrambling,bit,linked,Done,7832,801,1308,1,1,94,1,17
scrambling,byte,array,Done,3960,801,5280,0,1,50,1,9
scrambling,bit,array,Done,7920,801,1320,2,1,154,0,19
scrambling,byte,hashed,Done,4092,851,5456,1,1,184,1,9
scrambling,bit,hashed,Done,8272,851,1380,2,1,553,1,17
scrambling,byte,linked,Done,4092,851,5456,1,1,33,0,10
scrambling,bit,linked,Done,8184,851,1364,1,0,107,1,18
scrambling,byte,array,Done,4047,851,5396,0,1,56,0,10
scrambling,bit,array,Done,8280,851,1380,1,1,155,1,18
scrambling,byte,hashed,Done,4104,901,5472,0,1,191,1,10
scrambling,bit,hashed,Done,8800,901,1468,5,1,617,1,18
scrambling,byte,linked,Done,4221,901,5628,2,2,66,1,9
scrambling,bit,linked,Done,9024,901,1504,1,1,118,1,20
scrambling,byte,array,Done,4221,901,5628,1,0,60,0,10
scrambling,bit,array,Done,8648,901,1444,1,1,180,1,17
scrambling,byte,hashed,Done,4288,951,5720,1,1,201,1,10
scrambling,bit,hashed,Done,9024,951,1504,11,2,624,2,18
scrambling,byte,linked,Done,4248,951,5664,1,1,35,0,10
scrambling,bit,linked,Done,9200,951,1536,1,0,129,0,21
scrambling,byte,array,Done,4288,951,5720,0,1,59,1,10
scrambling,bit,array,Done,9000,951,1500,1,1,183,2,19
scrambling,byte,hashed,Done,4422,1001,5896,1,1,225,1,10
scrambling,bit,hashed,Done,9504,1001,1584,2,1,691,2,19
scrambling,byte,linked,Done,4416,1001,5888,1,1,36,0,10
scrambling,bit,linked,Done,9696,1001,1616,1,1,134,1,21
scrambling,byte,array,Done,4410,1001,5880,1,1,62,0,10
scrambling,bit,array,Done,9504,1001,1584,1,1,200,1,21
scrambling,byte,hashed,Done,4453,1051,5940,1,1,219,1,10
scrambling,bit,hashed,Done,10000,1051,1668,4,1,741,61,30
scrambling,byte,linked,Done,4485,1051,5980,1,1,38,1,10
scrambling,bit,linked,Done,10000,1051,1668,6,1,145,0,23
scrambling,byte,array,Done,4480,1051,5976,2,3,92,1,10
scrambling,bit,array,Done,10608,1051,1768,2,0,236,1,24
scrambling,byte,hashed,Done,4608,1101,6144,1,1,245,1,9
scrambling,bit,hashed,Done,10584,1101,1764,2,1,820,2,21
scrambling,byte,linked,Done,4560,1101,6080,0,1,38,1,10
scrambling,bit,linked,Done,10400,1101,1736,2,0,153,1,22
scrambling,byte,array,Done,4608,1101,6144,3,3,66,1,10
scrambling,bit,array,Done,10400,1101,1736,1,1,224,1,23
scrambling,byte,hashed,Done,4686,1151,6248,1,1,249,1,11
scrambling,bit,hashed,Done,10712,1151,1788,3,1,820,1,22
scrambling,byte,linked,Done,4680,1151,6240,1,1,39,0,11
scrambling,bit,linked,Done,11536,1151,1924,1,1,186,0,25
scrambling,byte,array,Done,4692,1151,6256,1,0,66,1,11
scrambling,bit,array,Done,10712,1151,1788,2,0,239,1,23
